id,name,location,type,description,price,min_people,max_people,difficulty,duration_days,rating_avg,available,created_at
14,Tour Leo núi 14,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 14,1611560.0,3,22,easy,3,4.8,1,2025-09-30 20:45:07
15,Tour Cắm trại 15,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 15,50000000.0,3,22,hard,5,4.3,1,2025-09-30 20:45:07
16,Tour Biển 16,Đà Nẵng,biển,Trải nghiệm biển thú vị số 16,7237944.0,2,19,hard,4,4.8,1,2025-09-30 20:45:07
17,Tour Biển 17,Đà Nẵng,biển,Trải nghiệm biển thú vị số 17,21256337.0,1,16,easy,2,4.2,1,2025-09-30 20:45:07
18,Tour Leo núi 18,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 18,2697588.0,1,10,easy,3,3.5,1,2025-09-30 20:45:07
19,Tour Biển 19,Phú Quốc,biển,Trải nghiệm biển thú vị số 19,3670595.0,2,27,medium,1,3.8,1,2025-09-30 20:45:07
20,Tour Biển 20,Quảng Ninh,biển,Trải nghiệm biển thú vị số 20,18293701.0,3,21,hard,7,4.4,1,2025-09-30 20:45:07
21,Tour City tour 21,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 21,8142253.0,3,11,hard,3,4.6,1,2025-09-30 20:45:07
22,Tour Biển 22,Phú Quốc,biển,Trải nghiệm biển thú vị số 22,29468170.0,2,13,medium,1,3.6,1,2025-09-30 20:45:07
23,Tour Quốc tế 23,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 23,12924624.0,3,28,medium,7,4.9,1,2025-09-30 20:45:07
24,Tour Cắm trại 24,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 24,1041971.0,2,27,medium,6,4.3,1,2025-09-30 20:45:07
25,Tour Leo núi 25,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 25,16273560.0,1,12,medium,7,3.8,1,2025-09-30 20:45:07
26,Tour Leo núi 26,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 26,29021214.0,3,21,medium,5,4.3,1,2025-09-30 20:45:07
27,Tour Biển 27,Đà Nẵng,biển,Trải nghiệm biển thú vị số 27,19253878.0,2,20,hard,4,4.0,1,2025-09-30 20:45:07
28,Tour City tour 28,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 28,26352595.0,1,22,easy,6,3.8,1,2025-09-30 20:45:07
29,Tour Leo núi 29,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 29,1704824.0,3,30,easy,7,3.8,1,2025-09-30 20:45:07
30,Tour City tour 30,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 30,4750398.0,3,16,easy,3,3.7,1,2025-09-30 20:45:07
31,Tour Leo núi 31,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 31,15267743.0,3,17,medium,2,4.8,1,2025-09-30 20:45:07
32,Tour Cắm trại 32,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 32,15128763.0,1,18,hard,4,4.5,1,2025-09-30 20:45:07
33,Tour Quốc tế 33,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 33,12776461.0,1,18,medium,7,4.9,1,2025-09-30 20:45:07
34,Tour Leo núi 34,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 34,8329466.0,1,13,hard,1,4.7,1,2025-09-30 20:45:07
35,Tour Biển 35,Nha Trang,biển,Trải nghiệm biển thú vị số 35,11064844.0,1,14,medium,7,3.8,1,2025-09-30 20:45:07
36,Tour City tour 36,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 36,24738653.0,1,25,easy,6,3.9,1,2025-09-30 20:45:07
37,Tour City tour 37,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 37,14244761.0,2,23,medium,4,3.8,1,2025-09-30 20:45:07
38,Tour Quốc tế 38,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 38,8217563.0,3,30,medium,3,4.8,1,2025-09-30 20:45:07
39,Tour Biển 39,Quảng Ninh,biển,Trải nghiệm biển thú vị số 39,9247984.0,2,17,hard,1,4.3,1,2025-09-30 20:45:07
40,Tour Quốc tế 40,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 40,18842454.0,1,30,easy,7,3.8,1,2025-09-30 20:45:07
41,Tour Cắm trại 41,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 41,21869296.0,2,27,medium,4,4.4,1,2025-09-30 20:45:07
42,Tour Quốc tế 42,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 42,29681935.0,2,18,hard,7,4.3,1,2025-09-30 20:45:07
43,Tour Biển 43,Quảng Ninh,biển,Trải nghiệm biển thú vị số 43,3703900.0,1,14,easy,6,3.6,1,2025-09-30 20:45:07
44,Tour Biển 44,Phú Quốc,biển,Trải nghiệm biển thú vị số 44,8063173.0,1,22,hard,1,3.8,1,2025-09-30 20:45:07
45,Tour Quốc tế 45,Thái Lan,quốc tế,Trải nghiệm quốc tế thú vị số 45,15444858.0,3,24,easy,2,5.0,1,2025-09-30 20:45:07
46,Tour Leo núi 46,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 46,3986003.0,3,17,easy,3,3.7,1,2025-09-30 20:45:07
47,Tour Cắm trại 47,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 47,25727934.0,3,20,easy,4,4.8,1,2025-09-30 20:45:07
48,Tour Quốc tế 48,Singapore,quốc tế,Trải nghiệm quốc tế thú vị số 48,18820430.0,2,22,medium,2,4.1,1,2025-09-30 20:45:07
49,Tour Cắm trại 49,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 49,27590696.0,3,11,easy,3,3.5,1,2025-09-30 20:45:07
50,Tour City tour 50,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 50,28952040.0,1,24,easy,2,5.0,1,2025-09-30 20:45:07
51,Tour Quốc tế 51,Singapore,quốc tế,Trải nghiệm quốc tế thú vị số 51,12842623.0,3,28,medium,3,5.0,1,2025-09-30 20:45:07
52,Tour Quốc tế 52,Thái Lan,quốc tế,Trải nghiệm quốc tế thú vị số 52,28767378.0,3,13,easy,6,4.0,1,2025-09-30 20:45:07
53,Tour Leo núi 53,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 53,11376727.0,2,12,hard,5,5.0,1,2025-09-30 20:45:07
54,Tour Cắm trại 54,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 54,17044998.0,1,14,hard,5,4.2,1,2025-09-30 20:45:07
55,Tour Biển 55,Đà Nẵng,biển,Trải nghiệm biển thú vị số 55,24456827.0,2,11,easy,1,3.8,1,2025-09-30 20:45:07
56,Tour Cắm trại 56,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 56,10738650.0,1,19,medium,7,4.2,1,2025-09-30 20:45:07
57,Tour Cắm trại 57,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 57,8293400.0,2,30,easy,7,4.7,1,2025-09-30 20:45:07
58,Tour Cắm trại 58,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 58,17202302.0,1,19,medium,2,3.5,1,2025-09-30 20:45:07
59,Tour Leo núi 59,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 59,29042642.0,2,13,easy,1,4.6,1,2025-09-30 20:45:07
60,Tour Cắm trại 60,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 60,11814683.0,1,13,hard,6,4.2,1,2025-09-30 20:45:07
61,Tour City tour 61,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 61,24357285.0,3,14,easy,4,3.9,1,2025-09-30 20:45:07
62,Tour City tour 62,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 62,22287335.0,1,17,hard,3,4.7,1,2025-09-30 20:45:07
63,Tour Leo núi 63,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 63,16155867.0,3,10,hard,6,3.6,1,2025-09-30 20:45:07
64,Tour Quốc tế 64,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 64,7285137.0,2,22,hard,5,3.6,1,2025-09-30 20:45:07
65,Tour Leo núi 65,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 65,28496855.0,1,16,medium,2,4.5,1,2025-09-30 20:45:07
66,Tour Cắm trại 66,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 66,25380499.0,2,25,medium,4,4.5,1,2025-09-30 20:45:07
67,Tour Biển 67,Phú Quốc,biển,Trải nghiệm biển thú vị số 67,16274892.0,2,15,hard,2,4.3,1,2025-09-30 20:45:07
68,Tour Biển 68,Phú Quốc,biển,Trải nghiệm biển thú vị số 68,21248824.0,2,19,hard,2,4.6,1,2025-09-30 20:45:07
69,Tour Leo núi 69,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 69,23662899.0,2,26,easy,2,4.8,1,2025-09-30 20:45:07
70,Tour Quốc tế 70,Hàn Quốc,quốc tế,Trải nghiệm quốc tế thú vị số 70,9850243.0,3,24,hard,7,3.9,1,2025-09-30 20:45:07
71,Tour Cắm trại 71,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 71,13265777.0,2,21,medium,3,4.8,1,2025-09-30 20:45:07
72,Tour City tour 72,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 72,25837960.0,3,10,hard,1,4.7,1,2025-09-30 20:45:07
73,Tour Biển 73,Phú Quốc,biển,Trải nghiệm biển thú vị số 73,9509563.0,3,23,easy,6,4.2,1,2025-09-30 20:45:07
74,Tour Cắm trại 74,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 74,25482613.0,3,27,medium,3,4.7,1,2025-09-30 20:45:07
75,Tour Quốc tế 75,Hàn Quốc,quốc tế,Trải nghiệm quốc tế thú vị số 75,18717450.0,1,26,hard,7,4.6,1,2025-09-30 20:45:07
76,Tour Leo núi 76,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 76,20215473.0,3,11,medium,5,3.5,1,2025-09-30 20:45:07
77,Tour Cắm trại 77,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 77,16802108.0,3,29,hard,3,4.1,1,2025-09-30 20:45:07
78,Tour City tour 78,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 78,16215061.0,2,23,hard,1,4.2,1,2025-09-30 20:45:07
79,Tour Cắm trại 79,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 79,21247366.0,3,18,easy,2,3.8,1,2025-09-30 20:45:07
80,Tour Cắm trại 80,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 80,5761196.0,1,14,hard,7,4.1,1,2025-09-30 20:45:07
81,Tour Leo núi 81,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 81,11318795.0,3,30,medium,1,4.6,1,2025-09-30 20:45:07
82,Tour Leo núi 82,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 82,9355495.0,2,18,hard,1,4.9,1,2025-09-30 20:45:07
83,Tour Leo núi 83,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 83,14606232.0,1,25,medium,5,4.9,1,2025-09-30 20:45:07
84,Tour City tour 84,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 84,4694016.0,2,12,medium,7,4.2,1,2025-09-30 20:45:07
85,Tour Cắm trại 85,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 85,19749552.0,2,17,easy,7,4.8,1,2025-09-30 20:45:07
86,Tour Biển 86,Quảng Ninh,biển,Trải nghiệm biển thú vị số 86,1262081.0,1,14,easy,6,4.3,1,2025-09-30 20:45:07
87,Tour Cắm trại 87,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 87,18168875.0,1,30,hard,3,4.7,1,2025-09-30 20:45:07
88,Tour City tour 88,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 88,27058046.0,3,29,hard,5,4.1,1,2025-09-30 20:45:07
89,Tour Biển 89,Phú Quốc,biển,Trải nghiệm biển thú vị số 89,17887931.0,3,26,easy,7,3.5,1,2025-09-30 20:45:07
90,Tour City tour 90,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 90,22040264.0,3,14,medium,4,4.0,1,2025-09-30 20:45:07
91,Tour Leo núi 91,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 91,11035929.0,3,16,medium,4,3.7,1,2025-09-30 20:45:07
92,Tour Biển 92,Đà Nẵng,biển,Trải nghiệm biển thú vị số 92,29933349.0,3,25,hard,4,3.8,1,2025-09-30 20:45:07
93,Tour Leo núi 93,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 93,14599681.0,3,26,medium,2,4.9,1,2025-09-30 20:45:07
94,Tour Biển 94,Quảng Ninh,biển,Trải nghiệm biển thú vị số 94,7501853.0,1,11,easy,6,3.6,1,2025-09-30 20:45:07
95,Tour Biển 95,Đà Nẵng,biển,Trải nghiệm biển thú vị số 95,1849292.0,1,11,easy,6,3.9,1,2025-09-30 20:45:07
96,Tour Quốc tế 96,Thái Lan,quốc tế,Trải nghiệm quốc tế thú vị số 96,7201760.0,3,10,hard,2,4.1,1,2025-09-30 20:45:07
97,Tour Leo núi 97,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 97,27464534.0,3,14,hard,1,3.7,1,2025-09-30 20:45:07
98,Tour Biển 98,Đà Nẵng,biển,Trải nghiệm biển thú vị số 98,14740327.0,3,11,hard,2,3.9,1,2025-09-30 20:45:07
99,Tour Biển 99,Phú Quốc,biển,Trải nghiệm biển thú vị số 99,29308930.0,1,21,easy,1,3.8,1,2025-09-30 20:45:07
100,Tour City tour 100,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 100,3376787.0,2,18,medium,5,4.9,1,2025-09-30 20:45:07
101,Tour Cắm trại 101,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 101,9740277.0,2,30,medium,6,4.0,1,2025-09-30 20:45:07
102,Tour Cắm trại 102,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 102,16691190.0,2,21,hard,6,4.9,1,2025-09-30 20:45:07
103,Tour City tour 103,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 103,22632812.0,1,14,medium,3,4.7,1,2025-09-30 20:45:07
104,Tour Leo núi 104,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 104,5415712.0,2,18,medium,4,3.8,1,2025-09-30 20:45:07
105,Tour City tour 105,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 105,11470973.0,3,26,hard,5,4.8,1,2025-09-30 20:45:07
106,Tour City tour 106,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 106,7477273.0,1,10,hard,6,3.9,1,2025-09-30 20:45:07
107,Tour Leo núi 107,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 107,10658611.0,2,19,hard,4,4.8,1,2025-09-30 20:45:07
108,Tour Biển 108,Nha Trang,biển,Trải nghiệm biển thú vị số 108,2332399.0,3,25,hard,2,4.0,1,2025-09-30 20:45:07
109,Tour Quốc tế 109,Thái Lan,quốc tế,Trải nghiệm quốc tế thú vị số 109,25994911.0,1,30,medium,2,4.0,1,2025-09-30 20:45:07
110,Tour Cắm trại 110,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 110,19765143.0,2,30,medium,6,4.3,1,2025-09-30 20:45:07
111,Tour Leo núi 111,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 111,7368131.0,1,25,hard,5,3.6,1,2025-09-30 20:45:07
112,Tour City tour 112,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 112,23274345.0,2,28,medium,6,4.0,1,2025-09-30 20:45:07
113,Tour City tour 113,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 113,1006551.0,3,22,medium,4,3.7,1,2025-09-30 20:45:07
114,Tour City tour 114,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 114,26199947.0,2,11,medium,2,4.8,1,2025-09-30 20:45:07
115,Tour Biển 115,Đà Nẵng,biển,Trải nghiệm biển thú vị số 115,21602225.0,3,23,medium,5,4.5,1,2025-09-30 20:45:07
116,Tour City tour 116,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 116,14559681.0,1,18,medium,3,4.7,1,2025-09-30 20:45:07
117,Tour Cắm trại 117,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 117,19435954.0,1,21,medium,5,3.7,1,2025-09-30 20:45:07
118,Tour City tour 118,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 118,23223852.0,3,23,medium,5,5.0,1,2025-09-30 20:45:07
119,Tour City tour 119,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 119,8470171.0,1,28,easy,1,4.4,1,2025-09-30 20:45:07
120,Tour Biển 120,Đà Nẵng,biển,Trải nghiệm biển thú vị số 120,26521627.0,3,10,easy,7,3.6,1,2025-09-30 20:45:07
121,Tour City tour 121,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 121,21414747.0,2,12,medium,4,4.6,1,2025-09-30 20:45:07
122,Tour City tour 122,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 122,1917251.0,3,21,easy,7,3.7,1,2025-09-30 20:45:07
123,Tour Cắm trại 123,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 123,1833842.0,3,15,easy,6,4.1,1,2025-09-30 20:45:07
124,Tour City tour 124,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 124,9869924.0,2,24,hard,7,4.2,1,2025-09-30 20:45:07
125,Tour Quốc tế 125,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 125,18016718.0,1,28,hard,2,4.6,1,2025-09-30 20:45:07
126,Tour Quốc tế 126,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 126,26817438.0,2,29,hard,4,4.2,1,2025-09-30 20:45:07
127,Tour Leo núi 127,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 127,8360780.0,2,18,hard,3,4.8,1,2025-09-30 20:45:07
128,Tour Leo núi 128,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 128,22144063.0,1,23,medium,4,4.2,1,2025-09-30 20:45:07
129,Tour Quốc tế 129,Singapore,quốc tế,Trải nghiệm quốc tế thú vị số 129,25036181.0,3,16,easy,7,4.5,1,2025-09-30 20:45:07
130,Tour Biển 130,Quảng Ninh,biển,Trải nghiệm biển thú vị số 130,17728636.0,3,29,hard,6,4.6,1,2025-09-30 20:45:07
131,Tour Leo núi 131,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 131,25230958.0,2,26,easy,1,3.7,1,2025-09-30 20:45:07
132,Tour Biển 132,Quảng Ninh,biển,Trải nghiệm biển thú vị số 132,24460093.0,1,29,easy,2,3.7,1,2025-09-30 20:45:07
133,Tour Quốc tế 133,Hàn Quốc,quốc tế,Trải nghiệm quốc tế thú vị số 133,18186267.0,3,28,medium,7,4.7,1,2025-09-30 20:45:07
134,Tour Cắm trại 134,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 134,22708735.0,2,21,hard,1,3.5,1,2025-09-30 20:45:07
135,Tour Cắm trại 135,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 135,11992482.0,2,19,hard,4,4.8,1,2025-09-30 20:45:07
136,Tour Biển 136,Đà Nẵng,biển,Trải nghiệm biển thú vị số 136,16483665.0,3,18,hard,4,4.4,1,2025-09-30 20:45:07
137,Tour City tour 137,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 137,21966451.0,1,29,easy,4,4.8,1,2025-09-30 20:45:07
138,Tour Cắm trại 138,Đà Lạt,cắm trại,Trải nghiệm cắm trại thú vị số 138,18430230.0,3,29,medium,3,3.7,1,2025-09-30 20:45:07
139,Tour Leo núi 139,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 139,22254533.0,1,15,easy,7,3.7,1,2025-09-30 20:45:07
140,Tour Cắm trại 140,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 140,14119523.0,2,30,hard,3,4.0,1,2025-09-30 20:45:07
141,Tour Leo núi 141,Hà Giang,leo núi,Trải nghiệm leo núi thú vị số 141,25729877.0,2,28,easy,5,3.8,1,2025-09-30 20:45:07
142,Tour Biển 142,Nha Trang,biển,Trải nghiệm biển thú vị số 142,22016148.0,2,24,easy,4,3.6,1,2025-09-30 20:45:07
143,Tour Biển 143,Quảng Ninh,biển,Trải nghiệm biển thú vị số 143,4954091.0,3,10,medium,3,4.8,1,2025-09-30 20:45:07
144,Tour Cắm trại 144,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 144,19201688.0,1,15,hard,7,3.6,1,2025-09-30 20:45:07
145,Tour City tour 145,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 145,16552472.0,2,26,medium,3,4.0,1,2025-09-30 20:45:07
146,Tour Quốc tế 146,Hàn Quốc,quốc tế,Trải nghiệm quốc tế thú vị số 146,14662923.0,2,30,easy,5,4.5,1,2025-09-30 20:45:07
147,Tour Biển 147,Nha Trang,biển,Trải nghiệm biển thú vị số 147,25861682.0,3,17,easy,7,4.8,1,2025-09-30 20:45:07
148,Tour Cắm trại 148,Đồng Nai,cắm trại,Trải nghiệm cắm trại thú vị số 148,16838676.0,1,22,easy,6,4.3,1,2025-09-30 20:45:07
149,Tour Biển 149,Quảng Ninh,biển,Trải nghiệm biển thú vị số 149,17173309.0,3,22,easy,4,3.9,1,2025-09-30 20:45:07
150,Tour Biển 150,Quảng Ninh,biển,Trải nghiệm biển thú vị số 150,7673946.0,2,18,easy,1,4.2,1,2025-09-30 20:45:07
151,Tour Biển 151,Quảng Ninh,biển,Trải nghiệm biển thú vị số 151,23978387.0,2,19,hard,7,4.0,1,2025-09-30 20:45:07
152,Tour Biển 152,Nha Trang,biển,Trải nghiệm biển thú vị số 152,3677534.0,1,19,easy,1,4.5,1,2025-09-30 20:45:07
153,Tour City tour 153,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 153,8529502.0,3,21,medium,1,4.7,1,2025-09-30 20:45:07
154,Tour City tour 154,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 154,19222354.0,1,25,easy,2,4.7,1,2025-09-30 20:45:07
155,Tour Quốc tế 155,Malaysia,quốc tế,Trải nghiệm quốc tế thú vị số 155,28436535.0,3,28,medium,6,4.1,1,2025-09-30 20:45:07
156,Tour Biển 156,Nha Trang,biển,Trải nghiệm biển thú vị số 156,5410401.0,3,24,easy,3,4.6,1,2025-09-30 20:45:07
157,Tour City tour 157,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 157,7793902.0,3,27,easy,4,4.3,1,2025-09-30 20:45:07
158,Tour Leo núi 158,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 158,19263116.0,1,30,hard,1,4.6,1,2025-09-30 20:45:07
159,Tour Leo núi 159,Ninh Bình,leo núi,Trải nghiệm leo núi thú vị số 159,15613899.0,1,22,hard,1,4.9,1,2025-09-30 20:45:07
160,Tour Biển 160,Đà Nẵng,biển,Trải nghiệm biển thú vị số 160,5289754.0,2,13,medium,5,3.5,1,2025-09-30 20:45:07
161,Tour City tour 161,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 161,1513140.0,2,28,easy,6,4.4,1,2025-09-30 20:45:07
162,Tour City tour 162,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 162,22408420.0,1,10,medium,4,4.0,1,2025-09-30 20:45:07
163,Tour Quốc tế 163,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 163,22897240.0,1,23,medium,6,4.8,1,2025-09-30 20:45:07
164,Tour City tour 164,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 164,26240559.0,1,22,hard,5,4.4,1,2025-09-30 20:45:07
165,Tour Leo núi 165,Sa Pa,leo núi,Trải nghiệm leo núi thú vị số 165,22790644.0,3,28,medium,5,5.0,1,2025-09-30 20:45:07
166,Tour City tour 166,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 166,4707533.0,3,30,easy,6,5.0,1,2025-09-30 20:45:07
167,Tour City tour 167,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 167,13991996.0,3,18,medium,3,3.5,1,2025-09-30 20:45:07
168,Tour Quốc tế 168,Hàn Quốc,quốc tế,Trải nghiệm quốc tế thú vị số 168,20379571.0,2,26,easy,7,4.0,1,2025-09-30 20:45:07
169,Tour Leo núi 169,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 169,24734668.0,2,21,easy,4,4.1,1,2025-09-30 20:45:07
170,Tour Leo núi 170,Đà Lạt,leo núi,Trải nghiệm leo núi thú vị số 170,4365733.0,1,28,easy,1,4.4,1,2025-09-30 20:45:07
171,Tour Quốc tế 171,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 171,12252042.0,1,15,easy,4,4.5,1,2025-09-30 20:45:07
172,Tour City tour 172,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 172,6176060.0,3,22,medium,7,4.5,1,2025-09-30 20:45:07
173,Tour Quốc tế 173,Hàn Quốc,quốc tế,Trải nghiệm quốc tế thú vị số 173,10935014.0,2,27,easy,2,4.0,1,2025-09-30 20:45:07
174,Tour City tour 174,Chưa rõ,city tour,Trải nghiệm city tour thú vị số 174,24420083.0,3,17,easy,3,3.9,1,2025-09-30 20:45:07
175,Tour Quốc tế 175,Nhật Bản,quốc tế,Trải nghiệm quốc tế thú vị số 175,3522881.0,2,21,medium,2,4.5,1,2025-09-30 20:45:07
176,Tour Cắm trại 176,Ba Vì,cắm trại,Trải nghiệm cắm trại thú vị số 176,9197082.0,2,23,hard,2,3.6,1,2025-09-30 20:45:07
